2023-01-18 20:40									
Name	Designator	Quantity	Mouser order code	TME order code	Farnell order code				
10uF	C1-C18	18	187-CL21X106KAYQNWE	C2012X5R1E106KAB	2346927	25V 0805		DIFF	
4.7uF	C19, C22, C30	3	581-06033D475KAT2A	CL10A475MA8NQNC	3217600	25V 0603			
1uF	C20, C23	2	810-C1608X7R1C105K	CC0603KRX5R6BB105	1650837	10V 0603			
100nF	C21, C24, C25, C26, C27, C28, C29, C33	8	810-CGA3E3X8R1H104KA	AC0603KRX7R8BB104	2070398	10V 0603			
FTSH-105-01-L-DV-K-TR	CN1	1	200-FTSH10501LDVKTR	-	3550963				
MAX14930DASE+	I1, I2	2	700-MAX14930DASE+	-	3257451				
215079-4	J1,J2,J3,J4	4	571-215079-4	AMP-7-215079-4	1772996				
LTST-C190GKT	LED1	1	859-LTST-C190GKT	LTST-C190GKT	1465991				
DRV8243HQRXYRQ1	M1,M2,M3	3	595-DRV8243HQRXYRQ1	-	-		DIFF		
STM32G441KBT6	MC1	1	511-STM32G441KBT6	-	3132413				
2.7k	R1,R4,R6	3	652-CR0603-FX2701ELF	MR06X2701FTL	2413683				DIFF
100k	R2,R3,R5	3	71-CRCW0603100KFKEAC	CRCW0201100KFKTDBC	9330402			DIFF	DIFF
10k	R7	1	603-RT0603FRE0710KL	CRGP0603F10K	2073356		DIFF	DIFF	DIFF
10118193-0001LF	U1	1	649-10118193-0001LF	10118193-0001LF/C	2751675				
CM1223-02SO	U2	1	748-CM1223-02SO	CM1223-02SO	3607672				
BUK6Y10-30P	VP1	1	771-BUK6Y10-30PX	BUK6Y10-30PX	3438512				
NCP164CSN330T1G	VR1	1	863-NCP164CSN330T1G	NCP164CSN330T1G	3367831				
NCV8730ASN500T1G	VR2	1	863-NCV8730ASN500T1G	-	3463974				
									
									
2023-01-19 18:59									
Name	Designator	Quantity	Mouser order code	TME order code	Farnell order code				
10uF	C1-C18	18	187-CL21X106KAYQNWE	1206X106K250CT	2346927	25V 0805		DIFF	DIFF
4.7uF	C19, C22, C30	3	581-06033D475KAT2A	CL10A475MA8NQNC	3217600	25V 0603	DIFF	DIFF	DIFF
1uF	C20, C23	2	810-C1608X7R1C105K	CC0603KRX5R6BB105	1650837	10V 0603			
100nF	C21, C24, C25, C26, C27, C28, C29, C33	8	810-CGA3E3X8R1H104KA	AC0603KRX7R8BB104	2070398	10V 0603			
FTSH-105-01-L-DV-K-TR	CN1	1	200-FTSH10501LDVKTR	-	3550963				
MAX14930DASE+	I1, I2	2	700-MAX14930DASE+	-	3257451				
215079-4	J1,J2,J3,J4	4	571-215079-4	AMP-7-215079-4	1772996				
LTST-C190GKT	LED1	1	859-LTST-C190GKT	LTST-C190GKT	1465991				
PDRV8243HRXYQ1	M1,M2,M3	3	595-DRV8243SQRXYRQ1	-	-				
STM32G441KBT6	MC1	1	511-STM32G441KBT6	-	3132413				
2.7k	R1,R4,R6	3	652-CR0603-FX2701ELF	MR06X2701FTL	2332146				
100k	R2,R3,R5	3	71-CRCW0603100KFKEAC	SMD2010-100K-1%	2470941				
10k	R7	1	652-CR0603FX-1002ELF	SMD2010-10K-1%	2324100				
10118193-0001LF	U1	1	649-10118193-0001LF	10118193-0001LF/C	2751675				
CM1223-02SO	U2	1	748-CM1223-02SO	CM1223-02SO	3607672				
BUK6Y10-30P	VP1	1	771-BUK6Y10-30PX	BUK6Y10-30PX	3438512				
NCP164CSN330T1G	VR1	1	863-NCP164CSN330T1G	NCP164CSN330T1G	3367831				
NCV8730ASN500T1G	VR2	1	863-NCV8730ASN500T1G	-	3463974				
									
									
2023-01-18 18:54									
Name	Designator	Quantity	Mouser order code	TME order code	Farnell order code				
10uF	C1-C18	18	187-CL21X106KAYQNWE	0805X106K250CG	1358512	25V 0805		DIFF	DIFF
4.7uF	C19, C22, C30	3	80-C1210C223KFRAUTO	VJ1206Y475KXXTW1BC	3273827	25V 0603	DIFF	DIFF	DIFF
1uF	C20, C23	2	810-C1608X7R1C105K	CC0603KRX5R6BB105	1650837	10V 0603			
100nF	C21, C24, C25, C26, C27, C28, C29, C33	8	810-CGA3E3X8R1H104KA	AC0603KRX7R8BB104	2070398	10V 0603			
